id,text,platform,topic,time_of_day,text_length,has_emoji,word_count,contains_punctuation_emphasis,emotion
1,The sequel didn't capture anything that made the original special.,support_ticket,personal,morning,66,False,10,False,disappointment
2,The coffee this morning hit different. Life is good.,review,finance,morning,52,False,9,False,joy
3,WE GOT THE FUNDING. Announcing next week. Cannot contain this.,twitter,health,morning,62,False,10,False,excitement
4,Just booked flights. Three weeks and I'll be in Tokyo for the first time.,twitter,finance,morning,73,False,14,False,excitement
5,The server is responding slowly and we have a demo in 20 minutes. Honestly.,chat,work,night,75,False,14,False,anxiety
6,I'll send over the details once I have them confirmed.,chat,finance,morning,54,False,10,False,neutral
7,First day at the new job tomorrow. Hope I made the right call.,twitter,social,morning,62,False,13,False,anxiety
8,Random act of kindness from a stranger today. Restored my faith.,twitter,work,night,64,False,11,False,joy
9,Three years of night classes and I finally have the degree.,twitter,health,morning,59,False,11,False,pride
10,I reviewed the document. A few minor edits noted in the comments.,review,finance,night,65,False,12,False,neutral
11,My doctor said the results would be in by now. They're not.,review,finance,morning,59,False,12,False,anxiety
12,My order arrived a day early and everything was perfect.,review,health,evening,56,False,10,False,joy
13,New season drops at midnight and I am very much awake.,twitter,social,afternoon,54,False,11,False,excitement
14,We bootstrapped to profitability. No outside funding. Just us.,twitter,health,afternoon,62,False,9,False,pride
15,Nominated for the award by my peers. Means more than any other kind. Not sure what to think.,review,health,evening,92,False,18,False,pride
16,Your subscription renews on the 15th of next month.,chat,health,evening,51,False,9,False,neutral
17,I reviewed the document. A few minor edits noted in the comments.,chat,health,morning,65,False,12,False,neutral
18,"Yes, please send me one more email asking if my issue was resolved before it was.!",twitter,health,afternoon,82,False,16,True,sarcasm
19,The sunset tonight was unreal. Had to put my phone down just to watch.,twitter,product_feedback,evening,70,False,14,False,joy
20,Love being told to clear my cache. Never heard that one before.,chat,work,night,63,False,12,False,sarcasm
21,We didn't make it to the finals. The team gave everything. Still hurts.,twitter,product_feedback,morning,71,False,13,False,disappointment
22,They reduced the portion size and kept the price the same. Classic.,chat,finance,evening,67,False,12,False,disappointment
23,Big presentation in two hours. Keep rehearsing in my head but nothing feels ready.,support_ticket,work,night,82,False,14,False,anxiety
24,Haven't checked the markets today. Probably shouldn't.,review,product_feedback,afternoon,54,False,7,False,anxiety
25,They added a dark mode. Pity about everything else.,review,product_feedback,evening,51,False,9,False,sarcasm
26,The team is currently working on it. Will update when complete.,support_ticket,finance,morning,63,False,11,False,neutral
27,First time ever finishing in the top 10. Years of training paid off.,support_ticket,product_feedback,evening,68,False,13,False,pride
28,I reviewed the document. A few minor edits noted in the comments.,review,customer_service,night,65,False,12,False,neutral
29,My order shows delivered but there is nothing at my door.,twitter,health,night,57,False,11,False,frustration
30,Applied for the mortgage. Just waiting now. Everything is on hold until we know.,chat,personal,night,80,False,14,False,anxiety
31,Just booked flights. Three weeks and I'll be in Tokyo for the first time.,review,finance,night,73,False,14,False,excitement
32,Waiting for feedback on the proposal. Refreshing my inbox every ten minutes.,review,finance,night,76,False,12,False,anxiety
33,They reduced the portion size and kept the price the same. Classic.,review,health,evening,67,False,12,False,disappointment
34,We hit a goal everyone said was unrealistic. Feels good to be unrealistic.,support_ticket,tech,afternoon,74,False,13,False,pride
35,Submitted my request two weeks ago. Still pending. No updates.,twitter,customer_service,morning,62,False,10,False,frustration
36,The coffee this morning hit different. Life is good.,review,product_feedback,night,52,False,9,False,joy
37,It's raining outside and I have nowhere to be. Perfect day.,review,work,morning,59,False,11,False,joy
38,Launching publicly tomorrow. What if nobody shows up.,twitter,health,morning,53,False,8,False,anxiety
39,New phone ships tomorrow. Haven't slept properly thinking about it.,review,product_feedback,afternoon,67,False,10,False,excitement
40,My mentor is leaving the company. Genuinely one of the best people here.,chat,social,night,72,False,13,False,disappointment
41,Deadline is in four hours and I'm still not confident this is ready.,review,work,night,68,False,13,False,anxiety
42,Got a handwritten thank you note from a customer. Framed it.,twitter,product_feedback,afternoon,60,False,11,False,joy
43,Just demoed to our biggest potential client ever. They want a proposal.!,review,social,evening,72,False,12,True,excitement
44,Three years of night classes and I finally have the degree.,support_ticket,personal,night,59,False,11,False,pride
45,Been on hold for 47 minutes. Still no answer. Just tell me if the service is down.,review,health,morning,82,False,17,False,frustration
46,First day at the new job tomorrow. Hope I made the right call..,support_ticket,personal,evening,63,False,13,False,anxiety
47,Deadline is in four hours and I'm still not confident this is ready.,twitter,social,morning,68,False,13,False,anxiety
48,The product we shipped is being used by people I've never met. Surreal.,twitter,tech,night,71,False,13,False,pride
49,My team didn't need me to jump in once today. That's the whole goal.,twitter,work,morning,68,False,14,False,pride
50,Random act of kindness from a stranger today. Restored my faith.,twitter,work,morning,64,False,11,False,joy
51,It's raining outside and I have nowhere to be. Perfect day. Really.,twitter,tech,evening,67,False,12,False,joy
52,Haven't checked the markets today. Probably shouldn't.,support_ticket,tech,afternoon,54,False,7,False,anxiety
53,Confirming receipt of your message. We'll follow up shortly.,review,customer_service,morning,60,False,9,False,neutral
54,The feature was removed because 'not enough users requested it.' Just me then..,support_ticket,customer_service,night,79,False,13,False,sarcasm
55,Random act of kindness from a stranger today. Restored my faith.,twitter,finance,morning,64,False,11,False,joy
56,Kids fell asleep without a fight tonight. I might cry.,twitter,tech,morning,54,False,10,False,joy
57,Your account has been created. You can log in with the email provided.,twitter,social,afternoon,70,False,13,False,neutral
58,Shipped the feature in half the time we estimated. Team was incredible.,review,work,night,71,False,12,False,pride
59,My student passed her board exams. I taught her everything she used today.,chat,personal,afternoon,74,False,13,False,pride
